"UID","Value","English","Orphan"
4138,"INDUSTRIES","Industries",No
4139,"INDUSTRY","Industry",No
4140,"MODULEINSTALLATIONS","Module Installations",No
4141,"MODULEINSTALLATION","Module Installation",No
4142,"SYSTEMINTERFACES","System Interfaces",No
4143,"SYSTEMINTERFACE","System Interface",No
4144,"INVOICES","Invoices",No
4145,"INVOICE","Invoice",No
4146,"INVOICED","Invoiced",No
4147,"SHIPPED","Shipped",No
4148,"ORDERED","Ordered",No
4149,"CUSTOMERPO","Cust PO",No
4150,"INTERNALPO","P.O. No.",No
4151,"SHIPVIA","Ship Via",No
4165,"SALESAMOUNT","Sales Amount",No
4166,"MISCELLANEOUSAMOUNT","Miscellaneous Amount",No
4167,"SALESTAXAMOUNT","Sales Tax",No
4168,"SHIPPINGAMOUNT","Shipping",No
4169,"TOTALAMOUNT","Total",No
4170,"BILLINGADDRESS1","Billing Address1",No
4171,"BILLINGADDRESS2","Billing Address2",No
4172,"BILLINGADDRESS3","Billing Address3",No
4173,"BILLINGCITY","Billing City",No
4174,"BILLINGSTATE","Billing State",No
4175,"BILLINGPOSTALCODE","Billing Postal Code",No
4176,"BILLINGLONGITUDE","Billing Longitude",No
4177,"BILLINGLATITUDE","Billing Latitude",No
4178,"INVOICELINES","Invoice Lines",No
4179,"INVOICELINE","Invoice Line",No
4180,"INTERNALPRODUCTNUMBER","Internal Product Number",No
4181,"CUSTOMERPRODUCTNUMBER","Customer Product Number",No
4182,"PRODUCT","Product",No
4183,"MANUFACTURERPRODUCTNUMBER","Manufacturer Product Number",No
4186,"PRICEPERUNIT","Price Per Unit",No
4187,"EXTENDEDPRICE","Extended Price",No
4188,"JOBQUEUEITEMS","Job Queue Items",No
4189,"JOBQUEUEITEM","Job Queue Item",No
4190,"STARTED","Started",No
4191,"ERRORNUMBER","Error Number",No
4192,"RUNNING","Running",No
4193,"FINISHED","Finished",No
4194,"JOBTYPE","Job Type",No
4195,"REPEAT","Repeat",No
4196,"REPEATMINUTE","Repeat Minute",No
4197,"REPEATHOUR","Repeat Hour",No
4198,"COMPLETED","Completed",No
4199,"REPEATMONTH","Repeat Month",No
4200,"REPEATDAYOFWEEK","Repeat Day Of Week",No
4201,"REPEATDAYOFMONTH","Repeat Day of Month",No
4202,"RESULTURL","Result URL",No
4203,"RESULTHTML","Result HTML",No
4204,"JOB","Job",No
4205,"RESULT","Result",No
4206,"ERRORMESSAGE","Error Message",No
4207,"ADDITIONALERRORINFORMATION","Additional Error Information",No
4208,"JOBTYPES","Job Types",No
4209,"LEAD","Lead",No
4210,"LEADS","Leads",No
4211,"LEADSOURCE","Lead Source",No
4212,"LEADSOURCES","Lead Sources",No
4213,"LOCKS","Locks",No
4214,"LOCK","Lock",No
4215,"LOCKED","Locked",No
4216,"ICONHOVERTEXT","Icon Hover Text",No
4217,"SMALLICONISFROMTHEME","Small Icon Is From Theme",No
4218,"LARGEICONISFROMTHEME","Large Icon Is From Theme",No
4219,"READMORE","Read More",No
4220,"DATABASEDRIVERS","Database Drivers",No
4221,"DATABASEDRIVER","Database Driver",No
4222,"DATABASES","Databases",No
4223,"THEMEICONTYPES","Theme Icon Types",No
4224,"THEMEICONTYPE","Theme Icon Type",No
4225,"THEMEICONCATEGORIES","Theme Icon Categories",No
4226,"THEMEICONCATEGORY","Theme Icon Category",No
4227,"QUICKLINKS","Quick Links",No
4228,"QUICKLINK","Quick Link",No
4229,"RENDERASUNIQUEDIV","Render As Unique Div",No
4230,"THEMES","Themes",No
4231,"THEME","Theme",No
4232,"QUICKNOTES","Quick Notes",No
4233,"QUICKNOTE","Quick Note",No
4234,"CLICKACTIONS","Click Actions",No
4235,"CLICKACTION","Click Action",No
4236,"PROJECTSTATUSES","Project Statuses",No
4237,"PROJECTSTATUS","Project Status",No
4238,"SKILLS","Skills",No
4239,"SKILL","Skill",No
4240,"MONTHS","Months",No
4241,"MONTHSSINCE","Months Since",No
4242,"PEOPLESSKILLS","People's Skills",No
4243,"PERSONSSKILL","Person's Skill",No
4244,"SENT","Sent",No
4245,"RECEIVED","Received",No
4246,"TEMPLATE","Template",No
4247,"MAILITEMS","Mail Items",No
4248,"MAILITEM","Mail Item",No
4249,"DATEANDTIME","Date and Time",No
4250,"SEVERITY","Severity",No
4251,"ENTRYID","Entry ID",No
4252,"ENTRY","Entry",No
4253,"SOURCEFILE","Source File",No
4254,"COMMANDLINE","Command Line",No
4255,"LOGENTRIES","Log Entries",No
4256,"LOGENTRY","Log Entry",No
4257,"JASMANAGEDTABLES","JAS Managed Tables",No
4258,"JASMANAGEDTABLE","JAS Managed Table",No
4259,"NEXTUNIQUEIDENTIFIER","Next Unique Identifier",No
4262,"ODBCDRIVER","ODBC Driver",No
4263,"FILENAME","Filename",No
4264,"DATASOURCENAME","Data Source Name (DSN)",No
4265,"FILEBASED","File Based",No
4266,"DSNFILENAME","DSN Filename",No
4267,"DATASOURCECONNECTIONS","Data Source Connections",No
4268,"TESTRECORDS","Test Records",No
4269,"TESTRECORD","Test Record",No
4270,"JTRAKAUDITTRAIL","JTrak Audit Trail",No
4271,"JTRAKAUDITRECORD","JTrak Audit Record",No
4272,"BEFORE","Before",No
4273,"AFTER","After",No
4274,"PASWORDS","Passwords",No
4275,"AUDIT","Audit",No
4282,"WIDGETMASK","Widget Mask",No
4283,"REMOTEPORT","Remote Port",No
4284,"REMOTEIPADDRESS","Remote IP Address",No
4285,"MEMO2","Memo 2",No
4286,"ADDED","Added",No
4287,"CURRENCY","Currency",No
4288,"INTEGER","Integer",No
4290,"MEMO","Memo",No
4291,"TEXT","Text",No
4293,"PORT","Port",No
4294,"REQUIRED","Required",No
4295,"INVOICENUMBER","Invoice Number",No
4296,"INVOICESENT","Invoice Sent",No
4297,"DEFAULTLOGINPAGE","Default Login Page",No
4298,"DEFAULTLOGOUTPAGE","Default Logout Page",No
4299,"LOOKUPNAME","Lookup Name",No
4300,"TEMPLATE","Template Header",No
4301,"OTHERICON","Other Icon",No
4302,"OTHERURL","Other URL",No
4303,"DELETEICON","Delete Icon",No
4304,"DELETEURL","Delete URL",No
4305,"EDITICON","Edit Icon",No
4306,"EDITURL","Edit URL",No
4307,"ADDICON","Add Icon",No
4308,"ADDURL","Add URL",No
4309,"IDENT","IDENT",No
4310,"PRIVATEKEY","Private Key",No
4311,"PUBLICKEY","Public Key",No
4312,"EXPORTED","Exported",No
4313,"DATEEXPORTED","Date Exported",No
4314,"UPLOADED","Uploaded",No
4315,"PAYRATE","Payrate Name",No
4316,"CLICKACTIONDATA","Click Action Data",No
4317,"COLUMNSPAN","Column Span",No
4318,"IMPORTED","Imported",No
4319,"MODE","Mode",No
4320,"INSTALLED","Installed",No
4321,"DATEIMPORTED","Date Imported",No
4322,"EXPENSE","Expense",No
4323,"CONNECTED","Connected",No
4324,"SESSIONTYPE","Session Type",No
4325,"LASTCONTACT","Last Contact",No
4326,"ALLOWEDSIMULTANEOUSSESSIONS","Allowed Simultaneous Sessions",No
4327,"PASSWORDCHANGED","Password Changed",No
4328,"FIRSTLOGIN","First Login",No
4329,"LASTLOGIN","Last Login",No
4330,"SUCCESSFULLOGINS","Successful Logins",No
4331,"FAILEDLOGINS","Failed Logins",No
4332,"HEIGHTISAPERCENTAGE","Height is a Percentage",No
4333,"WIDTHISAPERCENTAGE","Width is a Percentage",No
4334,"DETAILSCREEN","Detail Screen",No
4335,"VERTICALPIXELSPERPAGE","Vertical Pixels Per Page",No
4336,"CAMPAIGN","Campaign",No
1211231411118100021,"CACHEDIR","Cache Directory",No
1211240113422760003,"VIRTUALHOST","Virtual Host",No
1211241107047770001,"ORDER","Order",No
1211290106351460005,"HELPID","Help ID",No
1506081949129380000,"IPADDRESSLIST","IP Address List",No
1506081951425560001,"IPADDRESSTYPE","IP Address Type",No
1506081952277420002,"IPADDRESS","IP Address",No
1506082044224090000,"JADODRIVER","JADO Driver",No
1506082045116150001,"ALIASPATH","Alias Path",No
1506082046523460002,"ALIAS","Alias",No
1506082048562740003,"ALIASVIRTUALHOST","Alias Virtual Host",No
1506082312408620001,"DATABASECONNECTIONFILE","Database Connection File",No
1506090926238300001,"VIDEOMP4ENGLISH","Video MP4 - English",No
1506090929192770002,"HTMLENGLISH","HTML - English",No
1506090940235140003,"NAMEINENGLISH","Name in English",No
1506091120217060000,"CUSTOMURL","Custom URL",No
1506091130344890001,"MAXIMUMLENGTH","Maximum Length",No
1506091159550310002,"WEIGHT","Weight",No
1506091223368960000,"XML","XML",No
1506091229576810001,"POSTER","Poster",No
